CODIGO_SEXO,CODIGO_ENTIDAD_FEDERATIVA,CORAZON,CORAZON,CORAZON,CORAZON,CORAZON
,,sum,count,mean,min,max
1.0,1,6,2031,0.0029542097488921715,0,1
1.0,2,1,303,0.0033003300330033004,0,1
1.0,3,1,129,0.007751937984496124,0,1
1.0,4,0,3,0.0,0,0
1.0,5,16,891,0.017957351290684626,0,1
1.0,6,1,35,0.02857142857142857,0,1
1.0,7,1,33,0.030303030303030304,0,1
1.0,8,5,362,0.013812154696132596,0,1
1.0,9,68,5663,0.012007769733356878,0,2
1.0,10,4,194,0.020618556701030927,0,1
1.0,11,23,1106,0.020795660036166366,0,1
1.0,12,6,61,0.09836065573770492,0,1
1.0,13,4,223,0.017937219730941704,0,1
1.0,14,20,3020,0.006622516556291391,0,2
1.0,15,26,3379,0.007694584196507843,0,2
1.0,16,12,379,0.0316622691292876,0,1
1.0,17,5,337,0.01483679525222552,0,1
1.0,18,0,13,0.0,0,0
1.0,19,28,1267,0.022099447513812154,0,1
1.0,20,0,24,0.0,0,0
1.0,21,15,1019,0.014720314033366046,0,1
1.0,22,5,968,0.005165289256198347,0,1
1.0,23,0,21,0.0,0,0
1.0,24,12,548,0.021897810218978103,0,2
1.0,25,14,228,0.06140350877192982,0,2
1.0,26,9,487,0.018480492813141684,0,2
1.0,27,0,179,0.0,0,0
1.0,28,3,241,0.012448132780082987,0,1
1.0,29,4,49,0.08163265306122448,0,1
1.0,30,12,650,0.018461538461538463,0,1
1.0,31,1,426,0.002347417840375587,0,1
1.0,32,2,119,0.01680672268907563,0,1
2.0,1,1,1082,0.0009242144177449168,0,1
2.0,2,1,320,0.003125,0,1
2.0,3,0,111,0.0,0,0
2.0,4,0,1,0.0,0,0
2.0,5,2,863,0.002317497103128621,0,1
2.0,6,2,22,0.09090909090909091,0,1
2.0,7,0,41,0.0,0,0
2.0,8,8,237,0.03375527426160337,0,2
2.0,9,38,5596,0.006790564689063617,0,2
2.0,10,1,120,0.008333333333333333,0,1
2.0,11,6,917,0.006543075245365322,0,1
2.0,12,0,26,0.0,0,0
2.0,13,4,225,0.017777777777777778,0,2
2.0,14,11,2971,0.003702457085156513,0,2
2.0,15,12,2208,0.005434782608695652,0,2
2.0,16,4,270,0.014814814814814815,0,1
2.0,17,0,285,0.0,0,0
2.0,18,0,8,0.0,0,0
2.0,19,18,1034,0.017408123791102514,0,2
2.0,20,0,30,0.0,0,0
2.0,21,1,1099,0.0009099181073703367,0,1
2.0,22,3,510,0.0058823529411764705,0,1
2.0,23,0,18,0.0,0,0
2.0,24,1,479,0.0020876826722338203,0,1
2.0,25,1,100,0.01,0,1
2.0,26,0,334,0.0,0,0
2.0,27,0,99,0.0,0,0
2.0,28,4,149,0.026845637583892617,0,2
2.0,29,0,63,0.0,0,0
2.0,30,2,620,0.0032258064516129032,0,1
2.0,31,1,285,0.0035087719298245615,0,1
2.0,32,0,70,0.0,0,0
