CODIGO_SEXO,CODIGO_ENTIDAD_FEDERATIVA,HIGADO,HIGADO,HIGADO,HIGADO,HIGADO
,,sum,count,mean,min,max
1.0,1,15,2031,0.007385524372230428,0,1
1.0,2,15,303,0.04950495049504951,0,2
1.0,3,10,129,0.07751937984496124,0,1
1.0,4,0,3,0.0,0,0
1.0,5,40,891,0.04489337822671156,0,2
1.0,6,4,35,0.11428571428571428,0,1
1.0,7,2,33,0.06060606060606061,0,1
1.0,8,22,362,0.06077348066298342,0,2
1.0,9,271,5663,0.047854494084407555,0,2
1.0,10,19,194,0.0979381443298969,0,2
1.0,11,78,1106,0.0705244122965642,0,2
1.0,12,15,61,0.2459016393442623,0,2
1.0,13,13,223,0.05829596412556054,0,1
1.0,14,141,3020,0.046688741721854304,0,2
1.0,15,137,3379,0.04054453980467594,0,2
1.0,16,49,379,0.12928759894459102,0,2
1.0,17,22,337,0.06528189910979229,0,2
1.0,18,5,13,0.38461538461538464,0,1
1.0,19,123,1267,0.09707971586424625,0,2
1.0,20,1,24,0.041666666666666664,0,1
1.0,21,25,1019,0.02453385672227674,0,2
1.0,22,39,968,0.040289256198347105,0,2
1.0,23,0,21,0.0,0,0
1.0,24,93,548,0.16970802919708028,0,2
1.0,25,44,228,0.19298245614035087,0,2
1.0,26,91,487,0.1868583162217659,0,2
1.0,27,5,179,0.027932960893854747,0,2
1.0,28,12,241,0.04979253112033195,0,1
1.0,29,6,49,0.12244897959183673,0,1
1.0,30,22,650,0.033846153846153845,0,2
1.0,31,36,426,0.08450704225352113,0,2
1.0,32,15,119,0.12605042016806722,0,1
2.0,1,10,1082,0.009242144177449169,0,2
2.0,2,13,320,0.040625,0,1
2.0,3,8,111,0.07207207207207207,0,1
2.0,4,0,1,0.0,0,0
2.0,5,9,863,0.010428736964078795,0,2
2.0,6,3,22,0.13636363636363635,0,1
2.0,7,1,41,0.024390243902439025,0,1
2.0,8,16,237,0.06751054852320675,0,2
2.0,9,195,5596,0.03484631879914225,0,2
2.0,10,7,120,0.058333333333333334,0,1
2.0,11,34,917,0.03707742639040349,0,2
2.0,12,5,26,0.19230769230769232,0,2
2.0,13,8,225,0.035555555555555556,0,2
2.0,14,64,2971,0.021541568495456076,0,2
2.0,15,58,2208,0.026268115942028984,0,2
2.0,16,15,270,0.05555555555555555,0,2
2.0,17,5,285,0.017543859649122806,0,1
2.0,18,2,8,0.25,0,2
2.0,19,98,1034,0.09477756286266925,0,2
2.0,20,3,30,0.1,0,1
2.0,21,17,1099,0.015468607825295723,0,1
2.0,22,16,510,0.03137254901960784,0,2
2.0,23,5,18,0.2777777777777778,0,1
2.0,24,40,479,0.08350730688935282,0,2
2.0,25,8,100,0.08,0,1
2.0,26,24,334,0.0718562874251497,0,2
2.0,27,1,99,0.010101010101010102,0,1
2.0,28,4,149,0.026845637583892617,0,2
2.0,29,3,63,0.047619047619047616,0,1
2.0,30,7,620,0.01129032258064516,0,2
2.0,31,9,285,0.031578947368421054,0,2
2.0,32,4,70,0.05714285714285714,0,1
