CODIGO_SEXO,CODIGO_ENTIDAD_FEDERATIVA,RINON_IZQUIERDO,RINON_IZQUIERDO,RINON_IZQUIERDO,RINON_IZQUIERDO,RINON_IZQUIERDO
,,sum,count,mean,min,max
1.0,1,82,2031,0.04037419990152634,0,2
1.0,2,39,303,0.12871287128712872,0,2
1.0,3,27,129,0.20930232558139536,0,2
1.0,4,3,3,1.0,0,2
1.0,5,111,891,0.12457912457912458,0,2
1.0,6,9,35,0.2571428571428571,0,1
1.0,7,4,33,0.12121212121212122,0,1
1.0,8,128,362,0.35359116022099446,0,2
1.0,9,482,5663,0.08511389722761788,0,2
1.0,10,45,194,0.23195876288659795,0,2
1.0,11,337,1106,0.3047016274864376,0,2
1.0,12,18,61,0.29508196721311475,0,1
1.0,13,30,223,0.13452914798206278,0,1
1.0,14,212,3020,0.07019867549668875,0,2
1.0,15,287,3379,0.0849363717076058,0,2
1.0,16,121,379,0.31926121372031663,0,2
1.0,17,30,337,0.08902077151335312,0,2
1.0,18,9,13,0.6923076923076923,0,2
1.0,19,215,1267,0.1696921862667719,0,2
1.0,20,2,24,0.08333333333333333,0,1
1.0,21,150,1019,0.14720314033366044,0,2
1.0,22,94,968,0.09710743801652892,0,2
1.0,23,7,21,0.3333333333333333,0,1
1.0,24,163,548,0.29744525547445255,0,2
1.0,25,115,228,0.5043859649122807,0,2
1.0,26,179,487,0.3675564681724846,0,2
1.0,27,11,179,0.061452513966480445,0,1
1.0,28,37,241,0.15352697095435686,0,2
1.0,29,16,49,0.32653061224489793,0,1
1.0,30,88,650,0.13538461538461538,0,2
1.0,31,67,426,0.1572769953051643,0,2
1.0,32,46,119,0.3865546218487395,0,2
2.0,1,29,1082,0.026802218114602587,0,2
2.0,2,30,320,0.09375,0,1
2.0,3,26,111,0.23423423423423423,0,2
2.0,4,0,1,0.0,0,0
2.0,5,41,863,0.047508690614136734,0,2
2.0,6,7,22,0.3181818181818182,0,1
2.0,7,3,41,0.07317073170731707,0,1
2.0,8,68,237,0.2869198312236287,0,2
2.0,9,435,5596,0.07773409578270193,0,2
2.0,10,19,120,0.15833333333333333,0,2
2.0,11,166,917,0.18102508178844057,0,2
2.0,12,7,26,0.2692307692307692,0,2
2.0,13,12,225,0.05333333333333334,0,2
2.0,14,112,2971,0.03769774486704813,0,2
2.0,15,148,2208,0.06702898550724638,0,2
2.0,16,55,270,0.2037037037037037,0,2
2.0,17,11,285,0.03859649122807018,0,1
2.0,18,4,8,0.5,0,2
2.0,19,171,1034,0.1653771760154739,0,2
2.0,20,4,30,0.13333333333333333,0,1
2.0,21,97,1099,0.08826205641492266,0,2
2.0,22,31,510,0.060784313725490195,0,1
2.0,23,8,18,0.4444444444444444,0,2
2.0,24,86,479,0.17954070981210857,0,2
2.0,25,34,100,0.34,0,2
2.0,26,87,334,0.26047904191616766,0,2
2.0,27,3,99,0.030303030303030304,0,1
2.0,28,15,149,0.10067114093959731,0,2
2.0,29,12,63,0.19047619047619047,0,1
2.0,30,45,620,0.07258064516129033,0,4
2.0,31,19,285,0.06666666666666667,0,1
2.0,32,17,70,0.24285714285714285,0,1
